0,1,2,3,4
6.584708201197017e-10,6.90760434604288e-08,9.999999979638223e-08,8.683798893317263e-09,-5.809411249367409e-14
6.598859247664334e-10,6.937511063475541e-08,9.999999975707942e-08,8.535576679703329e-09,-5.8310750266636e-14
6.61058839529536e-10,6.964801877103456e-08,9.999999979455591e-08,8.393161252856409e-09,-5.8501912880345e-14
6.619982099701734e-10,6.989701309011213e-08,9.999999978345617e-08,8.256173682567306e-09,-5.866741623020876e-14
6.627123505658538e-10,7.012415834620437e-08,9.999999984914562e-08,8.124267108864204e-09,-5.880854297292354e-14
6.63209273242539e-10,7.033135091677251e-08,9.999999984289162e-08,7.997123401973681e-09,-5.892644845926113e-14
6.634967111123705e-10,7.052033055261694e-08,9.99999998558714e-08,7.874450237595423e-09,-5.902206081027338e-14
6.635821383703317e-10,7.06926916902422e-08,9.999999983423479e-08,7.755978526689346e-09,-5.909585331919708e-14
1.1109578829923503e-06,7.085040475833346e-08,1.0000003130777628e-07,7.608433362125866e-05,0.006180339815819642
2.10260736534493e-06,7.870038364469623e-08,1.0000002869417334e-07,0.00016666987270735358,0.008541019515056309
2.430340587950219e-06,7.515178104714192e-08,1.000000146042654e-07,0.00018653909237350435,0.0032623790308102044
4.611521133034175e-06,9.192528698252474e-08,1.000000269375756e-07,0.0002698329017778448,0.007426457531058447
6.8616734431496896e-06,1.1411705530665448e-07,1.0000002547464837e-07,0.00036268273117849673,0.009016993866021845
8.431631245174678e-06,1.097166203124072e-07,1.0000006176013138e-07,0.00038281580227754865,0.0034441847232453
1.0660581330152686e-05,1.0664614866848274e-07,1.0000006984918521e-07,0.0003894446940093793,0.0013155609139791414
1.4103264320107367e-05,1.31799311543136e-07,1.0000007322358763e-07,0.0004668739570238549,0.006682838651618458
1.7318222343362034e-05,1.6500318048604522e-07,1.0000008510816829e-07,0.0005566387009682726,0.008732956147292845
2.0816757199597577e-05,2.0393848733246274e-07,1.0000008771532081e-07,0.0006508539305724556,0.009516031157219378
2.4759397768855598e-05,2.4746053262332884e-07,1.0000008633035296e-07,0.000746476249239389,0.009815138976581985
2.9176188740785133e-05,2.949026625220205e-07,1.0000008680640144e-07,0.0008423174300866374,0.00992938775152754
3.4050420302489326e-05,3.457215072512536e-07,1.000000869346221e-07,0.0009379026931164004,0.009973026628795695
3.8218506486664586e-05,3.2728639632696093e-07,1.000001329919693e-07,0.0009568672421736842,0.0038093550878326903
4.2891563754996183e-05,3.042898206967638e-07,1.000001247187632e-07,0.0009607623850153794,0.001455041787342166
4.7458826100554396e-05,2.7991296385265806e-07,1.0000012926578614e-07,0.0009586445966452632,0.0005557738692495444
5.171446425907435e-05,2.5624206821298734e-07,1.000001283180871e-07,0.0009540124364180716,0.0002122838509075018
-0.02015035697721404,-1.761164805420841e-05,1.0000049139211179e-07,-0.021688561979560157,-0.006110372684564179
-0.0386409422543358,-2.711842260498848e-05,1.0000044898967668e-07,-0.041830410791219845,-0.002343999876962108
-0.055651663033846235,-3.256648879194288e-05,1.000002710936963e-07,-0.05976765999972526,-0.0009044353586604051
-0.07138710394563723,-3.5524388943822476e-05,9.999969072900822e-08,-0.0757078484410556,-0.00035371813155011503
-0.08601066000421596,-3.679132101846505e-05,9.999960820735737e-08,-0.0898238789521988,-0.00014256685376410494
-0.09964167285676015,-3.6857377796193394e-05,9.999940720038178e-08,-0.10226511731419119,-6.116476899074085e-05
-0.11236012094881492,-3.605926106867464e-05,9.999910547294765e-08,-0.1131662186170083,-2.9366682310388605e-05
-0.12421615237582768,-2.7663295390988216e-05,9.99988107928858e-08,-0.12272990733005512,-0.0061968935458881795
-0.13523738006441385,-1.2611883698620571e-05,9.999870655605785e-08,-0.13104552481726348,-0.008551916337457124
-0.14544190329842419,7.3641478955773725e-06,9.999865610737286e-08,-0.13822658942517274,-0.009450784057017644
-0.16360936574268062,4.2334926022313766e-05,9.999848800162848e-08,-0.1510021833495478,-0.009797199650781603
-0.18038562662866764,8.147822539239695e-05,9.999823500735557e-08,-0.16196615327666708,-0.009928518342501974
